"lostConnection/title","Rất tiếc!"
"lostConnection/des","Ôi không! Có vẻ như đã xảy ra sự cố với kết nối internet của bạn. Vui lòng kết nối Internet và thử lại."
"lostConnection/textButton","Thử lại"
"common/back","Quay lại"
"common/goBack","Quay lại"
"common/remove","Loại bỏ"
"common/next","Kế tiếp"
"common/saveAndClose","Lưu và đóng"
"common/24h","24 giờ"
"sideMenu/myMenu","Thực đơn của tôi"
"sideMenu/myOrders","Đơn đặt hàng của tôi"
"sideMenu/myOutlet","Cửa hàng của tôi"
"sideMenu/myUsers","Người dùng của tôi"
"sideMenu/faqs","Câu hỏi thường gặp"
"sideMenu/language","Ngôn ngữ"
"sideMenu/logout","Đăng xuất"
"sideMenu/term","Điều khoản và điều kiện"
"sideMenu/policy","Chính sách quyền riêng tư"
"login/title","ĐĂNG NHẬP"
"login/phone","Số điện thoại"
"login/password","Mật khẩu"
"login/login","Đăng nhập"
"login/forgotPassword","Quên mật khẩu?"
"login/registerGuide","Bạn chưa có tài khoản?"
"login/register","Đăng ký ở đây"
"login/placeholderPhone","Số điện thoại di động của bạn"
"login/placeholderPass","Mật khẩu của bạn"
"login/phoneNumberFormatError","Số điện thoại chỉ có thể có 10 chữ số."
"login/passwordFormatError","Mật khẩu chỉ được có ít nhất 8 ký tự, 1 chữ hoa, 1 chữ thường, 1 chữ số."
"login/loginError","Vui lòng kiểm tra điện thoại hoặc mật khẩu của bạn."
"forgotPassword/title","QUÊN MẬT KHẨU"
"forgotPassword/description","Hãy để chúng tôi giúp bạn tạo lại mật khẩu mới!
Vui lòng nhập số điện thoại của bạn để xác minh."
"forgotPassword/phone","Số điện thoại"
"forgotPassword/continue","Tiếp tục"
"forgotPassword/login","Đăng nhập tại đây"
"forgotPassword/register","Đăng ký ở đây"
"forgotPassword/placeholderPhone","Số điện thoại di động của bạn"
"forgotPassword/forgotPasswordError","Vui lòng kiểm tra số điện thoại di động của bạn."
"register/title","ĐĂNG KÝ"
"register/phone","Số điện thoại"
"register/name","Họ và tên"
"register/businessName","Tên doanh nghiệp"
"register/next","Tiếp theo"
"register/loginGuide","Đã có tài khoản?"
"register/login","Đăng nhập tại đây"
"register/agree","Tôi đồng ý "
"register/T&C","T&C"
"register/and"," và "
"register/policy","Chính sách bảo mật"
"register/placeholderPhone","Số điện thoại di động của bạn"
"register/placeholderName","Tên của bạn"
"register/placeholderBusinessName","Tên doanh nghiệp của bạn"
"register/errorName","Họ và tên không được để trống"
"register/errorBusinessName","Tên doanh nghiệp không được để trống"
"register/registerError","Vui lòng kiểm tra thông tin của bạn"
"OTP/title","XÁC MINH SỐ ĐIỆN THOẠI"
"OTP/verify","Xác nhận"
"OTP/wrongNumber","Sai số điện thoại? "
"OTP/reEnter","Nhập lại tại đây."
"OTP/enterOTP","Nhập OTP"
"OTP/OTPExpired","OTP đã hết hạn. "
"OTP/reSendOTP","Gửi lại OTP."
"OTP/OTPSentTo","OTP đã được gửi đến "
"OTP/reSendOTPFaild","Gửi lại OTP thất bại"
"OTP/expiredError","Mã đã hết hạn"
